,Caracteristique_du_site,Adresse,Code_postal,Localite,Latitude,Longitude,Numero_de_telephone
0,Agence postale communale,RUE PRINCIPALE,32360,LAVARDENS,"43,76127","0,51285",3631
1,Bureau de Poste,PLACE DE LA MAIRIE,32370,MANCIET,"43,799289","0,040773",3631
2,Agence postale communale,RUE DE L ECOLE,32120,MONFORT,"43,79487658","0,821983589",3631
3,Agence postale communale,LE VILLAGE,32810,MONTAUT LES CRENEAUX,"43,6943","0,657495",3631
4,Agence postale communale,8 rue du Barry,32350,ORDAN LARROQUE,"43,686898","0,460803",3631
5,Agence postale communale,2 CHEMIN DE RONDE,32390,STE CHRISTIE,"43,75959","0,62997",3631
6,Agence postale communale,AU BOURG,32300,ST MICHEL,"43,428497","0,414604",3631
7,Agence postale communale,80 RUE DU CHATEAU,32400,TERMES D ARMAGNAC,"43,671095","-0,010965",3631
8,Relais poste commerçant,30 RUE DE PACHERENC,32400,VIELLA,"43,596155","-0,143029",3631
9,Bureau de Poste,CENTRE COMMERCIAL AU VILLAGE,32730,VILLECOMTAL SUR ARROS,"43,401778","0,200606",3631
10,Bureau de Poste,6 AVENUE DE L YSER,32000,AUCH,"43,648797","0,593177",3631
11,Bureau de Poste,2 PLACE DE LA FONTAINE,32000,AUCH,"43,635899","0,592779",3631
12,Relais poste commerçant,432 RUE J TROCARD,33570,LES ARTIGUES DE LUSSAC,"44,971542","-0,140239",3631
13,Agence postale communale,18 RUE D AUBIE,33240,VAL DE VIRVEE,"45,019133","-0,407134",3631
14,Bureau de Poste,2 AVENUE DE VERDUN,33980,AUDENGE,"44,683086","-1,014796",3631
15,Bureau de Poste,29 ALLEES DE TOURNY,33000,BORDEAUX,"44,844791","-0,576754",3631
16,Bureau de Poste,3 BIS RUE PARTARRIEU,33124,AUROS,"44,495896","-0,147209",3631
17,Bureau de Poste,23 AVENUE DES PYRENEES,33114,LE BARP,"44,604685","-0,770624",3631
18,Agence postale communale,1 AVENUE DE LA LIBERATION,33390,BERSON,"45,108452","-0,586344",3631
19,Bureau de Poste,1 RUE JULES FERRY,33380,BIGANOS,"44,641294","-0,974765",3631
20,Bureau de Poste,37 RUE DU CHATEAU D EAU,33000,BORDEAUX,"44,839896","-0,583303",3631
21,Bureau de Poste,43 PLACE GAMBETTA,33000,BORDEAUX,"44,841694","-0,580527",3631
22,Bureau de Poste,11 RUE EMILE ZOLA,33110,LE BOUSCAT,"44,864859","-0,599726",3631
23,Bureau de Poste,8 RUE DU FORT BAYARD,33420,BRANNE,"44,828862","-0,18512",3631
24,Agence postale communale,12 ROUTE DE BERGERAC,33750,CAMARSAC,"44,832622","-0,363995",3631
25,Bureau de Poste,3 PLACE DU 8 MAI 1945,33840,CAPTIEUX,"44,291647","-0,261358",3631
