,Libelle1,voie,CP,Ville,surface,lat,long
0,Bibliotheque Municipale,7 rue de la Rhethiere,60123,Bonneuil-en-Valois,45.0,49.284913,2.988443
1,Activites Et Loisirs De Boursonne,8 rue lucien hubaut,60141,Boursonne,35.0,49.202875,3.046898
2,Bibliotheque De Boury En Vexin,5 rue Du Fort de Ville,60240,Boury-en-Vexin,72.0,49.240743,1.736919
3,Bibliotheque Municipale De Bulles,1 rue des Telliers,60130,Bulles,60.0,49.45859,2.325491
4,BIBLIOTHEQUE DE CAMBRONNE LES CLERMONT,218 RUE DE CLERMONT,60290,CAMBRONNE LES CLERMONT,30.0,49.329964,2.398457
5,Bibliotheque Municipale,21 Rue des ecoles,60680,Canly,65.0,49.387775,2.708146
6,Mediatheque Municipale,34 RUE D'AUMALE,60500,Chantilly,1070.0,49.193324,2.466788
7,Bibliotheque Municipale,77 RUE DE BEAUVAIS,60710,Chevrieres,150.0,49.346909,2.680489
8,Bibliotheque Mennechet de Barival,30 rue du four,60138,Chiry-Ourscamp,100.0,49.545844,2.949835
10,Administration des Bibliotheques de la Ville de Compiegne,33 rue de Paris,60200,Compiegne,250.0,49.415093,2.822328
11,Bibliotheque Municipale De Cormeilles,rue de l'Abbe Wassler,60120,Cormeilles,45.0,49.640541,2.193462
13,Bibliotheque municipale,Place de la Mairie,60400,Crisolles,25.0,49.622169,3.013834
14,Bibliotheque Municipale,33 rue de Ressons,60790,Le Deluge commune de La Drenne,30.0,49.29725,2.106582
15,Bibliotheque Municipale,5 RUE DE LA FLAQUE,60220,Formerie,100.0,49.648713,1.728629
16,Bibliotheque De Montchevreuil,1 RUE DE LA MONT,60240,Fresneaux-Montchevreuil,50.0,49.281025,2.004538
17,Association Bibliotheque,106 rue de l'E,60680,Grandfresnoy,103.0,49.371119,2.652476
18,Mediatheque,42 bis Route de Mouy,60370,Hermes,210.0,49.356199,2.249718
19,Bibliotheque Municipale De Lamecourt,18 GRANDE RUE,60600,Lamecourt,45.0,49.43024,2.468329
